ID_Mascota,Nombre,Especie,Raza,Edad,Peso_kg,Temperatura_C,Frec_Cardiaca,Frec_Respiratoria,Costo_Consulta
1,Rocky,Perro,Criollo,3 años,12.5kg,38.5°C,110 lpm,25 rpm,$50.000
2,Luna,Gato,Siames,2,4.2,39.0,,20,$45.000
C-003,Bella,Perro,Labrador,5 años,25.0kg,38.7°C,95 lpm,30 rpm,$60.000
4,,Gato,Persa,7,5.1kg,38.9°C,140,22 rpm,$55.000
5,Max,Perro,,4 años,18.3,38.4°C,100,28,$65.000
6,Simba,Gato,Mestizo,1,3.8kg,,180 lpm,35,$40.000
7,Thor,Perro,Husky,2 años,22.5kg,38.2°C,105 lpm,26,Seventy thousand
8,Nala,Gato,,0.5,2.1,39.1°C,150,40 rpm,$42.000
9,Zeus,Perro,Pastor Alemán,6,30.0kg,38.5°C,90,24 rpm,$70.000
10,Misty,Gato,Angora,3 años,,39.5°C,160 lpm,42,$48.000
... (490 registros más)